party,variable,value,value_label,respondents,total,pct
Religious Moderates,educ,1,No HS,1223.095178137811,11951.121600365663,0.10234145539113153
Religious Moderates,educ,2,HS grad,4220.613681493233,11951.121600365663,0.35315628295206175
Religious Moderates,educ,3,Some college,2194.020309541746,11951.121600365663,0.18358279523108664
Religious Moderates,educ,4,2-year,1200.630944745828,11951.121600365663,0.10046177964661432
Religious Moderates,educ,5,4-year,2020.264619409626,11951.121600365663,0.16904393470047305
Religious Moderates,educ,6,Post-grad,1092.4968670374185,11951.121600365663,0.09141375207863268
Religious Moderates,faminc_new,1,<10K,983.9735940580482,11951.121600365652,0.08233315892526295
Religious Moderates,faminc_new,2,$10-20K,1097.789872353036,11951.121600365652,0.0918566398252904
Religious Moderates,faminc_new,3,$20-30K,1501.900100025865,11951.121600365652,0.12567022161166141
Religious Moderates,faminc_new,4,$30-40K,1179.9887684590149,11951.121600365652,0.09873456299054914
Religious Moderates,faminc_new,5,$40-50K,967.0893174648021,11951.121600365652,0.08092038135025029
Religious Moderates,faminc_new,6,$50-60K,1013.78498209749,11951.121600365652,0.08482760162581499
Religious Moderates,faminc_new,7,$60-70K,706.6439228719069,11951.121600365652,0.05912783306047917
Religious Moderates,faminc_new,8,$70-80K,763.646623704667,11951.121600365652,0.06389748587959333
Religious Moderates,faminc_new,9,$80-100K,820.1200380819273,11951.121600365652,0.0686228511018443
Religious Moderates,faminc_new,10,$100-120K,639.4610750454056,11951.121600365652,0.053506365044921046
Religious Moderates,faminc_new,11,$120-150K,623.0722596438843,11951.121600365652,0.05213504476641097
Religious Moderates,faminc_new,12,$150-200K,426.36558868860317,11951.121600365652,0.03567578031132729
Religious Moderates,faminc_new,13,$200-250K,233.94732107392514,11951.121600365652,0.019575344381632546
Religious Moderates,faminc_new,14,$250-350K,122.00335444161703,11951.121600365652,0.010208527577686454
Religious Moderates,faminc_new,15,$350-500K,34.51761203818459,11951.121600365652,0.0028882320164099495
Religious Moderates,faminc_new,16,>500K,44.70337427374299,11951.121600365652,0.003740517063467521
Religious Moderates,faminc_new,97,Prefer not to say,789.6770222693499,11951.121600365652,0.06607555748116471
Religious Moderates,gender4,1,Man,5338.0669098304425,11951.121600365645,0.44665823747179717
Religious Moderates,gender4,2,Woman,6567.104368040935,11951.121600365645,0.5494969081261808
Religious Moderates,gender4,3,Non-binary,27.075756798487088,11951.121600365645,0.0022655410683511666
Religious Moderates,gender4,4,Other,18.874565695780564,11951.121600365645,0.0015793133336709667
Religious Moderates,race,1,White,6548.569960951387,11951.121600365652,0.5479460572764174
Religious Moderates,race,2,Black,2178.7444227848237,11951.121600365652,0.1823045983163759
Religious Moderates,race,3,Hispanic,1802.0118922223053,11951.121600365652,0.1507818221987777
Religious Moderates,race,4,Asian,790.7047803204233,11951.121600365652,0.06616155426752843
Religious Moderates,race,5,Native American,127.67120015067687,11951.121600365652,0.010682779777487219
Religious Moderates,race,6,2+ races,326.6854966634909,11951.121600365652,0.027335132850919677
Religious Moderates,race,7,Other,133.34834171880271,11951.121600365652,0.011157809800439386
Religious Moderates,race,8,Middle Eastern,43.38550555374062,11951.121600365652,0.0036302455120541337
Secular Moderates,educ,1,No HS,174.46391644923426,2195.2627873941533,0.07947290750385674
Secular Moderates,educ,2,HS grad,614.246105683643,2195.2627873941533,0.2798052739794185
Secular Moderates,educ,3,Some college,434.65638405655346,2195.2627873941533,0.19799742725676336
Secular Moderates,educ,4,2-year,204.80951211426952,2195.2627873941533,0.09329612531599688
Secular Moderates,educ,5,4-year,490.47057265073653,2195.2627873941533,0.22342225972542482
Secular Moderates,educ,6,Post-grad,276.6162964397164,2195.2627873941533,0.12600600621853966
Secular Moderates,faminc_new,1,<10K,198.3998653372823,2195.2627873941533,0.09037636244578684
Secular Moderates,faminc_new,2,$10-20K,155.96722882861235,2195.2627873941533,0.07104717928269098
Secular Moderates,faminc_new,3,$20-30K,187.71928696612991,2195.2627873941533,0.08551107778260965
Secular Moderates,faminc_new,4,$30-40K,188.4925205821084,2195.2627873941533,0.08586330605360236
